building_idx,row,col,x,y,poi_count,poi_diversity,reachable_area_m2,reachable_buildings,reachable_streets,poi_types
866789,1644,3594,292910.5,5035021.5,0,0,1332.0,0,1332,{}
1546005,2101,1265,290581.5,5034564.5,1607,7,32452.0,0,32452,"{'CASA': 1213, 'MIXED': 190, 'INVIAMENTO': 31, 'BOTTEGA': 77, 'MAGAZZINO': 27, 'OTHER': 8, 'TRAGHETTO': 33}"
571934,1394,2976,292292.5,5035271.5,99,5,9398.0,0,9398,"{'CASA': 84, 'MAGAZZINO': 7, 'MIXED': 2, 'BOTTEGA': 1, 'OTHER': 3}"
878688,1654,1127,290443.5,5035011.5,833,6,23955.0,0,23955,"{'CASA': 740, 'MIXED': 53, 'BOTTEGA': 22, 'MAGAZZINO': 3, 'OTHER': 1, 'INVIAMENTO': 13}"
1339173,1959,2843,292159.5,5034706.5,1221,7,36282.0,0,36282,"{'CASA': 610, 'MAGAZZINO': 43, 'MIXED': 228, 'BOTTEGA': 262, 'INVIAMENTO': 19, 'OTHER': 22, 'TRAGHETTO': 19}"
560221,1382,2917,292233.5,5035283.5,104,5,11673.0,0,11673,"{'CASA': 89, 'MAGAZZINO': 7, 'MIXED': 2, 'BOTTEGA': 1, 'OTHER': 3}"
1298036,1931,974,290290.5,5034734.5,839,6,27047.0,0,27047,"{'CASA': 719, 'MIXED': 52, 'INVIAMENTO': 14, 'BOTTEGA': 24, 'OTHER': 9, 'MAGAZZINO': 4}"
1157058,1843,3562,292878.5,5034822.5,0,0,1332.0,0,1332,{}
1636923,2163,2357,291673.5,5034502.5,1828,6,41840.0,0,41840,"{'CASA': 857, 'BOTTEGA': 500, 'MIXED': 309, 'MAGAZZINO': 62, 'OTHER': 49, 'INVIAMENTO': 32}"
296232,1070,1943,291259.5,5035595.5,819,7,22733.0,0,22733,"{'CASA': 548, 'MIXED': 130, 'BOTTEGA': 67, 'INVIAMENTO': 10, 'MAGAZZINO': 25, 'OTHER': 10, 'TRAGHETTO': 23}"
1384053,1990,3275,292591.5,5034675.5,787,7,38796.0,0,38796,"{'CASA': 523, 'BOTTEGA': 78, 'MIXED': 116, 'INVIAMENTO': 14, 'TRAGHETTO': 11, 'OTHER': 10, 'MAGAZZINO': 26}"
1114498,1814,1717,291033.5,5034851.5,878,6,27695.0,0,27695,"{'CASA': 591, 'BOTTEGA': 79, 'MIXED': 127, 'MAGAZZINO': 43, 'INVIAMENTO': 26, 'OTHER': 5}"
1682078,2195,717,290033.5,5034470.5,1365,7,43393.0,0,43393,"{'CASA': 1208, 'MIXED': 73, 'BOTTEGA': 36, 'INVIAMENTO': 11, 'OTHER': 15, 'MAGAZZINO': 11, 'TRAGHETTO': 1}"
2257,431,1808,291124.5,5036234.5,170,5,8104.0,0,8104,"{'BOTTEGA': 3, 'MAGAZZINO': 3, 'CASA': 145, 'MIXED': 13, 'INVIAMENTO': 5}"
1341858,1961,2652,291968.5,5034704.5,1879,7,52862.0,0,52862,"{'CASA': 760, 'MAGAZZINO': 59, 'MIXED': 404, 'BOTTEGA': 523, 'INVIAMENTO': 23, 'OTHER': 60, 'TRAGHETTO': 21}"
1563142,2113,857,290173.5,5034552.5,1549,7,42887.0,0,42887,"{'CASA': 1350, 'MIXED': 86, 'BOTTEGA': 37, 'INVIAMENTO': 13, 'OTHER': 16, 'MAGAZZINO': 14, 'TRAGHETTO': 3}"
1133877,1828,821,290137.5,5034837.5,330,6,12220.0,0,12220,"{'CASA': 305, 'MIXED': 11, 'BOTTEGA': 5, 'INVIAMENTO': 4, 'MAGAZZINO': 2, 'OTHER': 1}"
1227238,1889,2402,291718.5,5034776.5,2720,7,49048.0,0,49048,"{'BOTTEGA': 640, 'TRAGHETTO': 28, 'MIXED': 642, 'CASA': 1174, 'INVIAMENTO': 37, 'MAGAZZINO': 96, 'OTHER': 65}"
368983,1174,2380,291696.5,5035491.5,1075,7,26553.0,0,26553,"{'CASA': 807, 'MIXED': 128, 'INVIAMENTO': 13, 'BOTTEGA': 67, 'MAGAZZINO': 33, 'OTHER': 13, 'TRAGHETTO': 1}"
1214895,1882,841,290157.5,5034783.5,681,6,22655.0,0,22655,"{'CASA': 606, 'MIXED': 36, 'INVIAMENTO': 10, 'BOTTEGA': 13, 'OTHER': 8, 'MAGAZZINO': 3}"
404738,1220,2121,291437.5,5035445.5,746,6,15108.0,0,15108,"{'CASA': 494, 'MIXED': 119, 'BOTTEGA': 68, 'INVIAMENTO': 9, 'MAGAZZINO': 34, 'OTHER': 8}"
1227684,1889,3198,292514.5,5034776.5,1081,7,39395.0,0,39395,"{'MIXED': 143, 'BOTTEGA': 89, 'INVIAMENTO': 16, 'TRAGHETTO': 12, 'CASA': 768, 'OTHER': 12, 'MAGAZZINO': 32}"
1916021,2533,3983,293299.5,5034132.5,424,5,17334.0,0,17334,"{'CASA': 400, 'MIXED': 4, 'MAGAZZINO': 9, 'BOTTEGA': 2, 'OTHER': 7}"
1009939,1739,2306,291622.5,5034926.5,3644,7,47709.0,0,47709,"{'MIXED': 616, 'BOTTEGA': 1303, 'INVIAMENTO': 34, 'MAGAZZINO': 186, 'CASA': 1332, 'OTHER': 32, 'TRAGHETTO': 77}"
152974,829,1875,291191.5,5035836.5,1371,7,25765.0,0,25765,"{'CASA': 958, 'MAGAZZINO': 27, 'BOTTEGA': 119, 'MIXED': 169, 'OTHER': 34, 'INVIAMENTO': 40, 'TRAGHETTO': 9}"
