building_idx,row,col,x,y,poi_count,poi_diversity,reachable_area_m2,reachable_buildings,reachable_streets,poi_types
582374,1405,2038,291354.5,5035260.5,436,6,40842.0,0,40842,"{'CASA': 73, 'MAGAZZINO': 29, 'BOTTEGA': 262, 'MIXED': 38, 'INVIAMENTO': 3, 'OTHER': 3}"
1413424,2012,1278,290594.5,5034653.5,155,5,34752.0,0,34752,"{'CASA': 112, 'MIXED': 25, 'BOTTEGA': 12, 'INVIAMENTO': 5, 'MAGAZZINO': 1}"
231879,971,1875,291191.5,5035694.5,116,7,29870.0,0,29870,"{'CASA': 83, 'MAGAZZINO': 2, 'OTHER': 2, 'MIXED': 8, 'BOTTEGA': 12, 'INVIAMENTO': 3, 'TRAGHETTO': 6}"
1778063,2286,4023,293339.5,5034379.5,118,5,26230.0,0,26230,"{'CASA': 103, 'BOTTEGA': 6, 'INVIAMENTO': 4, 'MIXED': 4, 'OTHER': 1}"
1490314,2064,3259,292575.5,5034601.5,66,7,39201.0,0,39201,"{'BOTTEGA': 6, 'TRAGHETTO': 12, 'CASA': 32, 'INVIAMENTO': 7, 'OTHER': 3, 'MIXED': 5, 'MAGAZZINO': 1}"
906505,1673,2555,291871.5,5034992.5,542,7,45889.0,0,45889,"{'CASA': 165, 'MIXED': 148, 'BOTTEGA': 200, 'MAGAZZINO': 15, 'INVIAMENTO': 5, 'TRAGHETTO': 4, 'OTHER': 1}"
999609,1732,3426,292742.5,5034933.5,11,2,8296.0,0,8296,"{'CASA': 9, 'MIXED': 2}"
1812465,2343,3954,293270.5,5034322.5,128,5,34564.0,0,34564,"{'CASA': 113, 'BOTTEGA': 6, 'INVIAMENTO': 4, 'MIXED': 4, 'OTHER': 1}"
439738,1258,2520,291836.5,5035407.5,122,6,23163.0,0,23163,"{'CASA': 97, 'BOTTEGA': 8, 'MIXED': 13, 'MAGAZZINO': 2, 'OTHER': 1, 'INVIAMENTO': 1}"
1069053,1780,1476,290792.5,5034885.5,206,5,35592.0,0,35592,"{'BOTTEGA': 23, 'CASA': 144, 'MIXED': 29, 'INVIAMENTO': 7, 'MAGAZZINO': 3}"
228960,966,2115,291431.5,5035699.5,78,6,30069.0,0,30069,"{'BOTTEGA': 11, 'CASA': 57, 'OTHER': 2, 'MAGAZZINO': 2, 'MIXED': 5, 'INVIAMENTO': 1}"
1285910,1923,1797,291113.5,5034742.5,47,4,19750.0,0,19750,"{'CASA': 38, 'INVIAMENTO': 4, 'MIXED': 2, 'BOTTEGA': 3}"
823426,1612,2440,291756.5,5035053.5,798,7,50651.0,0,50651,"{'CASA': 162, 'MAGAZZINO': 35, 'BOTTEGA': 364, 'MIXED': 172, 'INVIAMENTO': 10, 'TRAGHETTO': 22, 'OTHER': 10}"
